"probe","GSM302859","GSM302864","GSM302866","GSM302870","GSM302872","GSM302882","GSM302896","GSM302900","GSM302924","GSM302927","GSM302933","GSM302943","GSM303364","GSM303366","GSM303368","GSM303520","GSM303522","GSM303523","GSM303525","GSM303531","GSM303533"
"205606_at",243.844,83.0922,248.289,75.0162,103.641,251.157,189.236,45.981,205.893,109.718,40.7945,196.539,185.305,183.387,49.7369,176.938,58.4616,385.147,500.121,388.529,284.685
"205607_s_at",173.557,224.221,176.533,166.207,187.759,249.643,259.889,241.378,195.284,207.887,297.79,214.771,189.093,273.549,208.816,156.33,158.2,103.245,211.365,209.11,165.602
"205608_s_at",494.823,273.352,522.045,200.045,436.713,295.316,429.271,226.039,511.315,328.477,249.502,503.883,335.09,269.022,287.284,268.52,290.608,520.929,355.769,344.7,417.852
"205609_at",294.403,228.262,853.98,51.1868,230.555,215.022,473.46,194.066,508.72,189.933,350.751,319.192,222.266,211.135,220.481,100.587,364.451,378.676,349.05,162.998,174.249
"205610_at",89.6745,107.329,185.827,68.1608,80.8917,137.407,31.7113,61.2718,266.501,73.6074,77.3992,48.6446,117.198,102.722,70.4484,31.276,128.105,234.215,145.414,123.162,35.1673
"205611_at",243.946,392.168,187.614,31.3566,360.131,260.815,403.312,266.329,329.074,471.303,389.487,367.589,161.9,282.181,255.494,264.657,112.357,469.179,117.997,218.623,202.939
"205612_at",438.426,220.647,260.98,47.3652,57.7359,250.244,178.275,90.9591,209.551,198.127,73.1785,183.662,99.7234,205.958,70.9207,74.2143,94.0504,152.838,63.6201,63.9959,61.7622
"205613_at",35.9975,144.64,174.704,29.4298,58.8474,165.659,78.7937,153.653,50.9114,57.6541,93.1827,134.276,71.916,142.077,112.826,124.131,47.2386,179.679,195.18,287.68,144.837
"205614_x_at",376.441,68.9005,168.121,61.0585,34.6466,106.849,107.369,174.035,79.366,116.485,137.225,31.4228,70.1809,48.6918,38.9035,190.194,103.08,154.111,288.315,236.691,48.8111
"205615_at",2.45301,3.32219,64.1869,8.20075,2.23379,2.68148,9.7437,9.10396,4.912,8.91073,4.9108,1.27384,14.3852,4.34382,2.87777,3.29707,13.1336,11.8269,8.79059,7.65085,3.72065
"205616_at",169.342,212.523,100.354,104.878,172.4,88.2948,83.4525,53.9268,156.17,110.868,103.171,56.5423,91.2475,70.8905,68.269,121.036,47.2944,180.848,127.815,92.9102,153.977
"205617_at",53.7175,115.733,51.2519,49.9972,73.7781,118.743,96.3911,50.4824,43.1352,26.9587,15.4524,70.0227,118.579,62.1114,19.9748,35.8422,95.6248,64.6036,81.762,138.78,54.8512
"205618_at",433.065,317.873,569.089,430.171,223.169,427.717,397.493,252.393,386.671,298.574,200.533,154.647,222.298,580.226,240.797,259.226,501.428,213.35,192.286,187.722,251.109
"205619_s_at",567.652,634.262,452.999,156.967,574.722,910.329,834.489,551.376,635.797,602.816,663.56,610.961,501.413,976.289,324.288,452.507,185.233,448.462,454.459,344.606,334.548
"205620_at",28.7376,24.2368,103.399,53.0908,39.0848,26.0411,35.5464,37.5158,105.999,18.9529,69.0693,12.4313,99.5883,53.8029,16.9933,56.3734,94.6566,107.298,75.7427,93.1491,27.244
"205621_at",589.156,725.424,560.733,733.279,760.368,574.813,593.976,437.747,668.922,700.389,780.031,679.38,600.408,690.523,703.94,688.145,439.8,536.679,569.281,561.761,623.647
"205622_at",56.6306,38.3116,66.6167,31.2932,48.8326,63.3345,105.706,165.146,172.538,206.179,142.506,159.338,210.225,106.492,177.831,125.141,63.0377,98.5823,122.349,142.359,145.859
"205623_at",17.5669,75.5873,24.6078,25.3168,6.85849,18.1051,21.1057,10.4158,37.4861,11.6525,28.6928,18.5441,22.2065,12.717,14.6358,24.4685,16.5897,36.6054,22.4182,23.4622,35.0929
"205624_at",3041.11,587.659,942.45,503.87,218.465,1064.57,543.687,559.564,269.465,876.183,1409.16,1477.69,1904.87,340.407,318.935,262.105,1277.42,468.844,2610.8,1439.83,963.467
"205625_s_at",32.1016,8.38374,48.1822,60.175,56.753,62.2302,38.4834,6.23868,18.2585,11.3411,19.4155,30.1115,15.7836,39.0748,35.5216,16.5058,39.1412,26.0924,48.5113,37.3214,19.3716
"205626_s_at",14.9831,18.537,29.2053,52.0562,46.2124,39.9802,31.7914,32.2607,11.3533,53.8175,15.3547,20.4451,31.6658,25.0529,34.6623,28.8691,29.5062,7.91918,40.9171,39.0178,26.7013
"205627_at",77.7288,171.817,124.102,626.92,263.675,182.115,65.8292,154.341,161.017,112.527,83.6705,60.9167,90.1084,113.155,88.2773,95.6918,33.1928,77.2421,55.4592,9.94175,21.4309
"205628_at",110.053,141.193,69.7614,39.3961,16.5086,82.5548,79.302,51.8291,52.6778,70.8497,84.0182,43.1175,82.4554,60.9295,36.0556,52.182,70.0991,56.1261,57.2625,61.143,58.0166
"205629_s_at",13.4628,11.6154,10.7171,10.1418,16.0274,9.79517,15.307,7.53887,6.70537,9.64437,8.85968,17.3412,11.0254,10.7527,69.9744,30.0284,9.91672,18.161,21.0938,44.3212,100.306
"205630_at",73.9084,27.6543,41.8226,77.9896,46.0731,5.73738,61.6583,8.36728,40.2039,29.4796,51.2549,55.3457,22.8253,35.1287,57.9621,36.8502,49.4279,18.122,22.9484,35.1703,46.6913
"205631_at",359.867,279.409,267.605,228.75,329.305,394.244,435.915,284.402,322.317,324.541,332.696,280.243,389.875,371.783,334.308,280.202,326.396,297.839,293.087,342.588,349.032
"205632_s_at",144.425,220.998,151.032,146.379,196.777,176.468,236.825,230.376,233.629,136.106,396.081,164.255,370.662,145.045,260.625,104.518,157.568,103.046,89.5276,186.943,112.445
"205633_s_at",456.469,406.883,420.789,374.019,644.347,388.304,449.633,530.345,513.776,508.544,578.931,724.526,537.826,350.746,519.097,505.348,334.419,347.17,276.122,219.968,205.389
"205634_x_at",295.672,292.139,265.235,208.026,390.662,361.523,518.996,448.209,366.601,506.162,340.729,468.206,537.608,234.408,382.57,389.253,335.125,499.194,452.67,425.81,496.749
"205635_at",72.993,54.6014,89.4646,132.767,20.4458,23.1273,17.7103,33.5795,46.5656,20.3194,53.8799,14.9136,11.725,49.9782,13.2406,49.0903,94.1706,57.6725,25.0198,42.3908,60.5457
"205636_at",116.403,113.773,147.646,177.736,141.668,158.731,148.462,117.274,97.881,83.0435,58.828,43.3379,135.98,130.255,100.795,148.719,199.527,59.2843,56.2014,88.4912,62.4273
"205637_s_at",37.6311,43.9933,149.609,146.148,93.6595,157.882,170.545,42.7425,14.9047,136.697,24.9847,93.6387,226.958,60.0386,88.1638,108.97,288.046,57.64,86.3889,43.2374,13.6042
"205638_at",84.4652,88.4707,153.797,57.7629,163.623,157.073,133.618,47.926,125.486,133.073,66.0331,148.284,124.027,58.9765,66.5899,34.345,82.1368,103.664,185.642,208.737,233.503
"205639_at",380.157,339.631,51.3712,184.007,263.796,114.61,576.023,349.796,131.248,439.426,635.692,546.499,381.301,157.185,302.638,398.248,57.515,302.404,465.77,383.062,194.202
"205640_at",165.586,612.017,244.744,77.7249,454.383,394.183,409.109,349.587,305.331,481.28,367.985,354.309,158.262,204.502,156.42,342.005,179.85,562.202,548.368,531.457,922.228
"205641_s_at",790.781,966.709,685.42,602.373,1042.08,643.253,881.395,895.667,749.368,753.733,894.281,1002.55,727.499,617.707,791.842,1088.75,543.563,909.961,874.132,992.327,1014.51
"205642_at",276.192,254.52,270.264,182.351,354.02,269.57,374.369,341.825,208.955,284.769,377.176,348.04,495.73,300.327,349.811,272.678,159.709,207.368,225.463,281.696,201.818
