"gene","kME","GS","abs_kME","abs_GS"
"PSMB8",0.807690176574752,0.627280406236085,0.807690176574752,0.627280406236085
"ARPC2",0.807102717469104,0.596322247276855,0.807102717469104,0.596322247276855
"CRLF3",0.807009747650582,0.73713803789217,0.807009747650582,0.73713803789217
"VAMP8",0.806140451954029,0.548091034430009,0.806140451954029,0.548091034430009
"PTPRC",0.80566206779808,0.659668329189196,0.80566206779808,0.659668329189196
"IL15",0.805452799316833,0.746314815536474,0.805452799316833,0.746314815536474
"APOD",-0.804662986423509,-0.618136793038937,0.804662986423509,0.618136793038937
"CDC42EP4",-0.802581796142646,-0.58675496490945,0.802581796142646,0.58675496490945
"PPP1CA",0.801470929143049,0.515087338974429,0.801470929143049,0.515087338974429
"LAIR1",0.801212412834666,0.462565399013959,0.801212412834666,0.462565399013959
"PLEK",0.800078627998576,0.539463720565379,0.800078627998576,0.539463720565379
