sex,ensembl_id,logFC_response,p_response,fdr_response,p_response_x_drug,fdr_response_x_drug,n
female,ENSG00000161981,-0.395030566933974,0.00245261563223944,0.999809345944711,0.0324011882710317,0.98732352139657,56
female,ENSG00000162191,-0.016474325147463,0.751031141256527,0.999809345944711,0.634707908624878,0.994061805312729,56
female,ENSG00000164066,0.426020308788678,0.388663567208524,0.999809345944711,0.00125671785218775,0.98732352139657,56
female,ENSG00000164512,0.309131951130502,0.30911324480518,0.999809345944711,0.602067584194315,0.991237725162366,56
female,ENSG00000164867,-0.416107796312057,0.0814744887568036,0.999809345944711,0.123780731884913,0.98732352139657,56
female,ENSG00000165609,-0.0545298680414477,0.421591923248934,0.999809345944711,0.688947147784345,0.995807420724111,56
female,ENSG00000165644,-0.3307579192806,0.0106390432627655,0.999809345944711,0.000608443200483401,0.98732352139657,56
female,ENSG00000170325,0.0812171122776303,0.441574534903832,0.999809345944711,0.466434384638703,0.989437116859335,56
female,ENSG00000172167,-0.141993265834915,0.52905943544159,0.999809345944711,0.00169094246810718,0.98732352139657,56
female,ENSG00000175054,0.0282663067086428,0.680683058424379,0.999809345944711,0.119274751428784,0.98732352139657,56
female,ENSG00000175344,0.838308249801294,0.0510247063599999,0.999809345944711,0.00563690261202178,0.98732352139657,56
female,ENSG00000179934,-0.494127268778057,0.16742136688514,0.999809345944711,0.0492766156709052,0.98732352139657,56
female,ENSG00000182158,0.0657768243266623,0.363004519916706,0.999809345944711,0.0433283655885768,0.98732352139657,56
female,ENSG00000183423,1.05299066844178,0.021344042200137,0.999809345944711,0.0039294546425319,0.98732352139657,56
female,ENSG00000185518,-0.466658160358553,0.326251546725225,0.999809345944711,0.723734006670015,0.996202148585697,56
female,ENSG00000199436,1.30212536759074,0.0084782851131127,0.999809345944711,0.309202649613104,0.98732352139657,56
female,ENSG00000213533,-0.0193505956712938,0.888068629921936,0.999809345944711,0.638644402243598,0.994061805312729,56
female,ENSG00000214184,-0.455389431065127,0.365928053033878,0.999809345944711,0.56362739120787,0.990166220475329,56
female,ENSG00000224616,1.68642492284991,0.00102325984399784,0.999809345944711,0.383795018189033,0.988420583775084,56
female,ENSG00000229358,1.8274520151699,0.00150568899960982,0.999809345944711,0.517032798453216,0.989437116859335,56
female,ENSG00000230626,-0.218862085380544,0.396985889329797,0.999809345944711,0.254169366189548,0.98732352139657,56
female,ENSG00000232818,1.43114706802423,0.00408170644044926,0.999809345944711,0.206163955292426,0.98732352139657,56
female,ENSG00000234493,1.74365431665481,0.000549562966584693,0.999809345944711,0.400158924109173,0.988420583775084,56
female,ENSG00000237788,0.0430175849966618,0.935339497927272,0.999809345944711,0.962228083293314,0.999374409625416,56
female,ENSG00000240230,0.00751193164315167,0.922257218987213,0.999809345944711,0.702991258389348,0.996202148585697,56
female,ENSG00000249129,1.10728786269423,0.00415518269435147,0.999809345944711,0.248869921825266,0.98732352139657,56
female,ENSG00000253409,0.10220911705129,0.846648512100186,0.999809345944711,0.880312802755261,0.998843294460772,56
female,ENSG00000259343,-0.201734792928265,0.711120366493877,0.999809345944711,0.133780992612537,0.98732352139657,56
female,ENSG00000279161,1.07197935449033,0.0812996196658436,0.999809345944711,0.00168341831038906,0.98732352139657,56
male,ENSG00000049541,0.135779272638297,0.32196019021113,0.991248756653092,0.370339629564146,0.929744771441316,23
