gene,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MHC_region
PIM1,1.02,0.7879817,0.958021994,FALSE
TLR2,1.1,0.4422625,0.84179809,FALSE
ARRB1,0.98,0.7103116,0.943049532,FALSE
NEK1,0.95,0.3360037,0.789369184,FALSE
SMAD6,0.98,0.8707227,0.973321266,FALSE
PPM1B,1.33,0.02798979,0.335677911,FALSE
PNPT1,1.06,0.4804388,0.859349464,FALSE
ATRAID,0.98,0.6975568,0.942477892,FALSE
KIF11,0.75,0.08242665,0.52866864,FALSE
CARF,1.13,0.5631097,0.894514913,FALSE
SENP7,0.96,0.08983496,0.54150085,FALSE
CNOT6L,1.12,0.2147016,0.70332356,FALSE
ETV6,0.95,0.6175991,0.919052551,FALSE
DUSP6,1.02,0.7195479,0.943106167,FALSE
RB1,1.19,0.03469471,0.368097745,FALSE
NIPA2,1.14,0.0221359,0.308938459,FALSE
PML,0.99,0.8264082,0.965087088,FALSE
ULK3,1.04,0.1416306,0.627070584,FALSE
SLC5A2,0.78,0.3308646,0.787194214,FALSE
TGFB1I1,0.89,0.4036566,0.82710426,FALSE
MINK1,1.05,0.1649584,0.649536719,FALSE
SAT2,0.98,0.6159433,0.91804291,FALSE
PIK3R5,1.04,0.7629404,0.952822315,FALSE
TP53,1.22,0.1954467,0.688823487,FALSE
RPTOR,0.99,0.8886641,0.977207774,FALSE
ERBB2,0.6,0.01044552,0.221329433,FALSE
SIRT3,1.01,0.9138214,0.9830642,FALSE
SOD1,0.96,0.7235577,0.943648098,FALSE
SIK1,1.07,0.5521771,0.890084653,FALSE
AKT1,1.06,0.2238926,0.714012681,FALSE
CARM1,0.98,0.7352558,0.947104054,FALSE
RPL11,1.1,0.3952293,0.824048768,FALSE
MAP3K6,0.96,0.274208,0.748654187,FALSE
CREG1,1,0.9797099,0.995205549,FALSE
MCL1,0.97,0.6702645,0.936216786,FALSE
SELENBP1,0.79,0.09952253,0.562694722,FALSE
DTL,1.15,0.7260776,0.94480465,FALSE
TP53BP2,0.9,0.186192,0.680176964,FALSE
ARF1,0.86,0.4751358,0.857476254,FALSE
ITPKB,1.27,0.0289604,0.340500435,FALSE
PARP1,0.97,0.4394035,0.84118829,FALSE
LBR,0.95,0.8274069,0.965087088,FALSE
ASXL2,0.88,0.5060557,0.869803946,FALSE
FANCD2,1.02,0.6704558,0.936383785,FALSE
CCNA2,1.1,0.4448693,0.842375562,FALSE
METTL14,0.9,0.245548,0.729764078,FALSE
SKP2,0.97,0.6344204,0.925053617,FALSE
ATG12,1,0.9444058,0.987685037,FALSE
IGFBP3,1.01,0.8166846,0.962878354,FALSE
PURB,1,0.9893106,0.996920922,FALSE
NCAPG2,1.01,0.8420021,0.967486521,FALSE
MTDH,0.97,0.7870116,0.958021994,FALSE
CDKN2B,1.07,0.0435113,0.407134041,FALSE
CDKN2A,0.95,0.7409591,0.948967185,FALSE
LCN2,1.05,0.5130851,0.872161217,FALSE
NOTCH1,1.06,0.5247894,0.876005307,FALSE
ZEB1,1.11,0.6033191,0.913719188,FALSE
PDCD11,1.01,0.981896,0.995221951,FALSE
INCENP,1.02,0.7695191,0.954961743,FALSE
CHEK1,0.82,0.3028533,0.769706844,FALSE
TAGLN,1.02,0.1771883,0.665399067,FALSE
LATS2,0.94,0.3583085,0.803564488,FALSE
PDCD4,1.02,0.8102502,0.961974836,FALSE
FOXO1,1.15,0.3604021,0.804266359,FALSE
ITPR1,0.97,0.4974049,0.866773061,FALSE
THRB,0.95,0.8204593,0.963791072,FALSE
EIF4E,0.98,0.719726,0.943106167,FALSE
VENTX,0.93,0.2656942,0.743537025,FALSE
BAG3,0.87,0.05957916,0.464936576,FALSE
ATG10,1,0.9629462,0.991893345,FALSE
ANAPC1,1.08,0.404386,0.827227699,FALSE
ING1,1.01,0.8839079,0.976652916,FALSE
CEBPG,0.99,0.9243838,0.9848739,FALSE
HS2ST1,1.02,0.7966919,0.959685161,FALSE
ABI3BP,1.17,0.2725112,0.747632073,FALSE
SORBS2,1.04,0.6802979,0.937800839,FALSE
BTG3,1.15,0.1916174,0.686646795,FALSE
XPC,1.08,0.454299,0.846942365,FALSE
DEPTOR,1.11,0.0972219,0.557227459,FALSE
SMG1,1,0.9997199,0.9999053,FALSE
DYRK1A,0.8,0.09389809,0.551791726,FALSE
ETS2,1,0.9887902,0.996920922,FALSE
BRAF,0.96,0.8144154,0.962676974,FALSE
PINK1,1.06,0.3526859,0.799526612,FALSE
RUNX1,1.6,0.04945828,0.427142164,FALSE
MORC3,0.96,0.2729134,0.747960292,FALSE
CHAF1B,1.08,0.5681296,0.896972863,FALSE
BTG2,0.98,0.6110043,0.916486072,FALSE
CBS,0.96,0.08546368,0.531779693,FALSE
MCM3AP,1,0.9582549,0.991893345,FALSE
FDPS,0.97,0.841296,0.967215503,FALSE
LMNA,0.92,0.139856,0.625134869,FALSE
NACC1,1.04,0.7055665,0.942735071,FALSE
HK3,1.17,0.3307672,0.787194214,FALSE
SRSF2,1.23,0.3223104,0.781798581,FALSE
RACGAP1,0.86,0.2780112,0.751363064,FALSE
TNFSF13,0.95,0.2278102,0.715020592,FALSE
RBBP4,0.72,0.3740823,0.81304903,FALSE
USP1,0.86,0.1100323,0.583217233,FALSE
PEA15,0.95,0.1470529,0.630295546,FALSE
PEX19,0.88,0.1645909,0.648817906,FALSE
ATF3,1.12,0.4246022,0.834097897,FALSE
DPY30,1.54,0.1130511,0.585426772,FALSE
PMVK,1.2,0.0365547,0.376851835,FALSE
IGFBP7,0.95,0.4331385,0.838338377,FALSE
CIP2A,0.96,0.4331059,0.838338377,FALSE
TGFBR2,1,0.97389,0.994142877,FALSE
NUAK2,1.05,0.2362649,0.723371152,FALSE
IFI16,0.9,0.1480776,0.631956074,FALSE
